Judul Artikel,Link,Waktu_Scraping,Berita_Hoax
IDI: Kematian Petugas KPPS PEMILU 2019 Bukan Karena Kelelahan tapi Karena DIRACUN,https://turnbackhoax.id/2023/09/28/salah-idi-kematian-petugas-kpps-pemilu-2019-bukan-karena-kelelahan-tapi-karena-diracun/,2023-10-13,True
“SKENARIO PEMILU 2024 adalah HARUS/BAKAL CURANG”,https://turnbackhoax.id/2023/08/01/salah-skenario-pemilu-2024-adalah-harus-bakal-curang/,2023-10-13,True
Partai Komunis Cina Biayai Kampanye Ganjar Sebesar Rp200 Juta serta Adanya Kampanye dan Petunjuk Pemilu Berbahasa Mandarin,https://turnbackhoax.id/2023/07/19/salah-partai-komunis-cina-biayai-kampanye-ganjar-sebesar-rp200-juta-serta-adanya-kampanye-dan-petunjuk-pemilu-berbahasa-mandarin/,2023-10-13,True
PKB dan Gerindra Bersatu Dukung Anies Baswedan di Pemilu 2024,https://turnbackhoax.id/2023/06/27/salah-pkb-dan-gerindra-bersatu-dukung-anies-baswedan-di-pemilu-2024/,2023-10-13,True
Video TVOne Siarkan Jokowi akan Maju jadi Cawapres di Pemilu 2024,https://turnbackhoax.id/2023/06/27/salah-video-tvone-siarkan-jokowi-akan-maju-jadi-cawapres-di-pemilu-2024/,2023-10-13,True
Video Seluruh Warga Jakarta Siap Menangkan Anies Baswedan pada Pemilu 2024,https://turnbackhoax.id/2023/06/26/salah-video-seluruh-warga-jakarta-siap-menangkan-anies-baswedan-pada-pemilu-2024/,2023-10-13,True
PKB Nyatakan Dukung Anies Baswedan di Pemilu 2024,https://turnbackhoax.id/2023/06/22/salah-pkb-nyatakan-dukung-anies-baswedan-di-pemilu-2024/,2023-10-13,True
“MAHFUD MD TUNTUT 5 MILIAR KE MK AKIBAT PENUNDAAN PEMILU”,https://turnbackhoax.id/2023/06/22/salah-mahfud-md-tuntut-5-miliar-ke-mk-akibat-penundaan-pemilu/,2023-10-13,True
Seluruh Warga Jombang dan Santri Pesantren Tebu Ireng Dukung Anies – Yenny Wahid di Pemilu 2024,https://turnbackhoax.id/2023/06/21/salah-seluruh-warga-jombang-dan-santri-pesantren-tebu-ireng-dukung-anies-yenny-wahid-di-pemilu-2024/,2023-10-13,True
"PUTUSKAN SISTEM PEMILU TERTUTUP, ANIES PERINTAHKAN MAHKAMAH KONSTITUSI DIBUBARKAN",https://turnbackhoax.id/2023/06/20/salah-putuskan-sistem-pemilu-tertutup-anies-perintahkan-mahkamah-konstitusi-dibubarkan/,2023-10-13,True
PENCURIAN FORMULIR C1 UNTUK PEMILU 2024,https://turnbackhoax.id/2023/06/10/salah-pencurian-formulir-c1-untuk-pemilu-2024/,2023-10-13,True
"Sebar Hoaks Sistem Pemilu, Denny Indrayana dan Ganjar Ditangkap",https://turnbackhoax.id/2023/06/08/salah-sebar-hoaks-sistem-pemilu-denny-indrayana-dan-ganjar-ditangkap/,2023-10-13,True
Hary Tanoesoedibjo Perintahkan Karyawan MNC TV Dukung Anies di Pemilu 2024,https://turnbackhoax.id/2023/05/30/salah-hary-tanoesoedibjo-perintahkan-karyawan-mnc-tv-dukung-anies-di-pemilu-2024/,2023-10-13,True
Video Putin Mengomentari Demokrasi Amerika dan Membantah Intervensi Pemilu di Amerika,https://turnbackhoax.id/2023/05/24/salah-video-putin-mengomentari-demokrasi-amerika-dan-membantah-intervensi-pemilu-di-amerika/,2023-10-13,True
"Video “INI DATA KPU HASIL PEMILU 2024, pemungutan suara belum dilakukan, hasilnya sudah ditentukan”",https://turnbackhoax.id/2023/04/28/salah-video-ini-data-kpu-hasil-pemilu-2024-pemungutan-suara-belum-dilakukan-hasilnya-sudah-ditentukan/,2023-10-13,True
"Tangkapan Layar Artikel Berjudul “Suara Melimpah, PDI Perjuangan Tak Butuh Suara Umat Islam dalam Pemilu”",https://turnbackhoax.id/2023/04/28/salah-tangkapan-layar-artikel-berjudul-suara-melimpah-pdi-perjuangan-tak-butuh-suara-umat-islam-dalam-pemilu/,2023-10-13,True
MOBIL HAKIM DIBAKAR AKIBAT TUNDA PEMILU 2024,https://turnbackhoax.id/2023/03/16/salah-mobil-hakim-dibakar-akibat-tunda-pemilu-2024/,2023-10-13,True
Prabowo Bawa Ribuan Pasukan Tuntut Istana Tolak Penundaan Pemilu,https://turnbackhoax.id/2023/03/16/salah-prabowo-bawa-ribuan-pasukan-tuntut-istana-tolak-penundaan-pemilu/,2023-10-13,True
